"c_lower","c_upper","c_mid","r2","pairs"
0.005,0.015,0.01,0.00950681260834982,33296
0.015,0.025,0.02,0.00715008269346009,32932
0.025,0.035,0.03,0.00670625486865094,33228
0.035,0.045,0.04,0.00635098946443759,32788
0.045,0.055,0.05,0.00601178386587236,32821
0.055,0.065,0.06,0.00586475088659575,32742
0.065,0.075,0.07,0.00585299909640234,32373
0.075,0.085,0.08,0.00586354883246269,31897
0.085,0.095,0.09,0.00570435971475047,31932
0.095,0.105,0.1,0.00577957384657331,32043
0.105,0.115,0.11,0.00572125092744836,31136
0.115,0.125,0.12,0.00574061978387443,31086
0.125,0.135,0.13,0.00548624087629804,30279
0.135,0.145,0.14,0.00544420564323224,29545
0.145,0.155,0.15,0.00556992196171428,29208
0.155,0.165,0.16,0.00567196485004605,28786
0.165,0.175,0.17,0.0057861041675135,28437
0.175,0.185,0.18,0.00578183019610645,28817
0.185,0.195,0.19,0.00527797291101257,28107
0.195,0.205,0.2,0.00553341498857231,27896
0.205,0.215,0.21,0.00551604597060458,27120
0.215,0.225,0.22,0.00542666345134529,26836
0.225,0.235,0.23,0.00555815401594874,26360
0.235,0.245,0.24,0.00531291444464244,25545
0.245,0.255,0.25,0.00555557137924827,24600
0.255,0.265,0.26,0.00531879692283694,22099
0.265,0.275,0.27,0.00557074906608849,19710
0.275,0.285,0.28,0.00571365290467564,17002
0.285,0.295,0.29,0.00569314719617592,14560
0.295,0.305,0.3,0.00523101558201217,10645
