Ne,rep,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
793,474,0.0130452470109047,0.0097511121430863,0.0075578535460054,0.0070119649407685,0.0069633993327837,0.0064570160915888,0.0066694121365146,0.005831392512817,0.0057209669539128,0.0060237834462681,0.0058244230713459,0.0054798281189896,0.0057707860948442,0.0059876001558302,0.0059067937067313,0.0056528093050419,0.0056230234056623,0.0052838737133467,0.0048075001179393,0.0051233032203815,0.0054386350694565,0.0048707582248842,0.0047042340499963,0.0049425783757296,0.0051149950352433,0.0051597539090663,0.0049458644867691,0.0050660707695307,0.0043192708516024,0.0042957003624017
1759,83,0.0092380967853084,0.0069497243354461,0.0063296054474219,0.0061764942090232,0.0061593322848116,0.0058680251102765,0.0057549919410873,0.0058251538336286,0.0056298366172328,0.0053969488366529,0.0053686457936275,0.005359705429755,0.0053202898410778,0.0052934807722747,0.0050083402176267,0.0053813350191807,0.0050536566193038,0.00519309462507,0.0053564141524458,0.0054618130322656,0.0050734420387918,0.0053027794375573,0.0053975378640835,0.0051986363780388,0.0052414443072405,0.0049848204091386,0.0050846396582765,0.0052125470395793,0.0050082379026749,0.0051593515560351
2167,678,0.008311197512178,0.0068115102957206,0.0060840790840284,0.0058789270440173,0.005737644541137,0.0057089874048166,0.0057727937003311,0.0053930753692624,0.0053448119058759,0.0054823120279766,0.0053559039849879,0.0052497074686676,0.005261272810282,0.0053842374625139,0.0055141293581331,0.0052871409878562,0.0052559386682485,0.0049935554806525,0.0050750921560857,0.0051856114681562,0.0052525705264283,0.0054584595590286,0.0051783441731806,0.0051491147567755,0.005058004415628,0.0052997345333792,0.0048012236523565,0.0048657355929959,0.0050467482875798,0.0052702018551959
2889,52,0.0078797792950619,0.0063694835980818,0.0061616811736662,0.0057607794239081,0.0055463001802692,0.0055224206351869,0.0054145265327833,0.0053648523104951,0.0054406738024223,0.0056740346576755,0.0056050400192324,0.0056496829188973,0.0056925451123402,0.0055676331111952,0.0053228408621501,0.005683693751893,0.005588550247684,0.0054441786284057,0.0053724380149228,0.0054057669469589,0.005174257264278,0.0052538840220325,0.0050759582679515,0.0053111633675147,0.0051083711824048,0.0049832077261769,0.0050155350448026,0.0054115861900914,0.0052352243112235,0.0050523136823686
4898,261,0.0068606985788371,0.006134152854747,0.0057677420484673,0.0056498512968825,0.0054708105942991,0.0053650630723255,0.0052895885525774,0.0052199667313693,0.0052126439859168,0.0052027965220276,0.0052463430334229,0.005261694936354,0.005208944374109,0.005199866458512,0.0052643939233734,0.0052134480815099,0.0052014169154786,0.0052197653985835,0.0051691283295387,0.0052335945172974,0.0051613489375878,0.005265039729867,0.0051851906865156,0.0050480391948067,0.0050588923569304,0.0050621577445181,0.0050946431791326,0.00546004864982,0.0053291265940177,0.005229200665803
5885,693,0.0065107413458592,0.005823487443505,0.0056035453620553,0.0054490184745564,0.0054209171382738,0.0053371985542585,0.00540092832368,0.0053636951454116,0.0052730674577457,0.0053497376184352,0.0052236325645617,0.0052473972719409,0.0052324479443935,0.0052508078227803,0.0052103287231891,0.0052057461700634,0.0051930246453253,0.0052344514928629,0.0052227849411587,0.00530886020548,0.0052860133769951,0.0052677757265686,0.0053726305835001,0.0053474686161168,0.0053960233474795,0.0054755065680313,0.0053102652684562,0.0053289146199347,0.0052899175002123,0.0049902073422847
6730,777,0.006476525070777,0.005843402806165,0.0056273705599852,0.00555196320125,0.0054888658267984,0.0054620438587015,0.0054231929888814,0.005440644918782,0.0053603259295382,0.0053773689656202,0.0054979106029174,0.0053556830761518,0.0052820516413429,0.0054092800990538,0.0053363977906501,0.0052153901455616,0.0052192581942418,0.0052085642389705,0.0052790485875828,0.0053010929955102,0.0053414188725783,0.0053775061199378,0.0052646382702111,0.0052548629413764,0.0053424114054185,0.0051621118385212,0.0053037513875931,0.005384501932013,0.0053367628654868,0.0051544648986736
6758,815,0.0061895362441204,0.0056198501805072,0.0054961020203933,0.0053500683155665,0.0052140164575339,0.0052513171394906,0.0052661771062617,0.0051995928361881,0.005269306092232,0.0052056107135589,0.0051636739136491,0.0051150182142291,0.005137382616252,0.0052083325683798,0.0052842573514632,0.0052323150584818,0.0052679040264189,0.0050789086992634,0.0051769151157088,0.005165467409766,0.0051315790227086,0.0051680515075542,0.0051839229463142,0.0051937679229236,0.0052149050422032,0.0052479220378683,0.0052070310608999,0.0052058200587828,0.0051561879062488,0.0051653385103299
8304,658,0.0058893133316592,0.0055026798754994,0.0053034658703722,0.0052222101014005,0.0052881563522691,0.005311718922477,0.0051947917872617,0.0052658511685472,0.0052235202440391,0.0051915028798732,0.0051918554918805,0.0052184138111737,0.0051292308705722,0.005127126856758,0.0051809247669477,0.005166210303688,0.005239548655863,0.0051689935234641,0.0051927848523288,0.0051297230218466,0.0052152845902874,0.0051648259139533,0.0052181989258271,0.0051936097349239,0.005182501350581,0.005202288082618,0.0052404399173018,0.0052344657590523,0.0052044427082946,0.0051668058358982
8508,960,0.0062237073727292,0.0056548075705548,0.0055544820959184,0.0054220577427334,0.0054846011085541,0.0054327922582828,0.0053512755208441,0.0053918037825835,0.0053726804374301,0.005375381507069,0.0052688052899739,0.0052551592893624,0.0053045207918018,0.0053335529731183,0.0053168789269598,0.0052529521375353,0.0052688848719427,0.0053003862330339,0.0052166519149138,0.0052911532065821,0.0053527252089258,0.0052218818937823,0.0051613394298173,0.0052250671435167,0.0052848732387215,0.0053491675989144,0.0053894413238308,0.0051703688438594,0.005284480591204,0.0053765064929094
9299,132,0.0060798978012629,0.0056111096258718,0.0054744316038357,0.0054158757467612,0.0053767468394806,0.0053869766664063,0.005352446504292,0.0054067289504104,0.0053325227897655,0.0052181202071455,0.0052653886673264,0.005288809497475,0.0052767924870627,0.0053118967493523,0.0052874488047909,0.0052329223261519,0.0052456172077684,0.0052296350259137,0.0052384934236718,0.0052031702442471,0.0052952705730908,0.0053462816417652,0.0053277670194066,0.0053152916852981,0.0052924397510172,0.0053193391855594,0.0052928476863026,0.0052842433642468,0.0054086772684695,0.0053491119368048
10016,412,0.0059124973470708,0.0054960611376221,0.0053935852241106,0.0053045653914409,0.0053129494459703,0.0052553180585998,0.0052494031135996,0.0052371073682239,0.0052434664032993,0.0052188444344215,0.0052462985935745,0.0052338074243406,0.0052060255273841,0.0051934007682426,0.0052206890333714,0.0051981716341508,0.0052758320245967,0.0052184188939883,0.0052518580875192,0.005224196754251,0.0051897320411026,0.0051991609075554,0.0051438457177383,0.0051774859963993,0.0052472526564216,0.0051464303343756,0.0052400951318811,0.0051447086996701,0.0052042864608882,0.0054286707844789
10441,568,0.0058074049290372,0.0054287453508088,0.0052624038641618,0.0052294568599622,0.0051362034068602,0.0051465928720394,0.0051299038106541,0.0051175209215913,0.005145057388454,0.005157607936103,0.0050845273849748,0.0051539360251036,0.0051012519054473,0.0051180514113562,0.0051426694781659,0.0050679714555559,0.005074975747748,0.005088993848896,0.0050731091777012,0.0051065273025591,0.005069466672029,0.005072625245542,0.0050585372187492,0.0050068983952776,0.0050331446448182,0.0050917721828257,0.0049934380179804,0.0050175461718582,0.005131303728828,0.0050382618447349
