,NA_count,mean,std
bin1,0,0.007742260640388661,0.003799228549428181
bin2,0,0.006473777137043677,0.001987138702102461
bin3,0,0.006040112941632412,0.0013209664166405558
bin4,0,0.005856424585999669,0.0010647442684716506
bin5,0,0.005720164415431669,0.0008501883581444593
bin6,0,0.0056118304258629455,0.0006709431852094944
bin7,0,0.005564805216035062,0.0006553227300605164
bin8,0,0.005518077064487659,0.0005515813242572382
bin9,0,0.005464351028822887,0.00045416561403742597
bin10,0,0.00544173491203634,0.00047439273634790547
bin11,0,0.005420910391373503,0.0004098584136264237
bin12,0,0.005404042625090577,0.00041392490434122737
bin13,0,0.005386552798178572,0.00036193165548475666
bin14,0,0.005363077775810792,0.0003077563028588688
bin15,0,0.005351896268480676,0.0003243006296962509
bin16,0,0.005335280116731919,0.00029679482762651237
bin17,0,0.005335778793991426,0.0002863053210988851
bin18,0,0.005315370492605244,0.00027790450523217976
bin19,0,0.00532276031174852,0.00027507540977622733
bin20,0,0.005312723968448453,0.00026185021388329985
bin21,0,0.0052983697122012795,0.00023639488450861965
bin22,0,0.0053130038689908924,0.0002703732011216825
bin23,0,0.00527268536803716,0.0002490202672315016
bin24,0,0.005272446983540716,0.0002377075211701575
bin25,0,0.005280242476522732,0.0002867518191660076
bin26,0,0.005256088600438289,0.0002745229312813962
bin27,0,0.005265772382571757,0.000296860212641585
bin28,0,0.005276065490425869,0.00030231501455624715
bin29,0,0.005249760672861994,0.00037222898630530414
bin30,0,0.005268041681213244,0.000404085413062941
