bin,n,mae,mae_med,ae_p25,ae_p75,rmse,bin_count,ne_median,ne_min,ne_max,model
0,30,0.0570833392281596,0.031279555862437025,0.011382696711010998,0.07165379908940761,0.0845864373593357,30,500.0,500.0,500.0,RF
1,30,0.06297209134133902,0.050470218086053675,0.01577379039329485,0.10921422656540292,0.08115678843702986,30,1000.0,1000.0,1000.0,RF
3,30,0.07112411988522581,0.05166110636110943,0.012965683598545552,0.10424787096306976,0.10157709443285924,30,2000.0,2000.0,2000.0,RF
5,30,0.07567303173648156,0.061811517175451636,0.023565520941363216,0.10489847957247178,0.09556815166440547,30,5000.0,5000.0,5000.0,RF
7,30,0.10532621885904603,0.08309779307521437,0.040901365382456145,0.14736248623714898,0.13183643246924048,30,10000.0,10000.0,10000.0,RF
9,30,0.10824353779463015,0.07530838935909845,0.0465176010775592,0.12852511229505392,0.15007262926860265,30,20000.0,20000.0,20000.0,RF
11,30,0.1344155416627792,0.09046143167546683,0.03999548761822558,0.2032982466395723,0.18492403655319076,30,50000.0,50000.0,50000.0,RF
13,30,0.14010239496807497,0.10176673742954057,0.04015727213380105,0.22812236849797185,0.17920471500731686,30,100000.0,100000.0,100000.0,RF
15,30,0.11952527420919763,0.10868971380620973,0.03096747970901026,0.16282539705148857,0.1530890872946833,30,200000.0,200000.0,200000.0,RF
17,30,0.17417926724910457,0.1490481459153301,0.08207761700850313,0.24311546296713016,0.21652375595158505,30,500000.0,500000.0,500000.0,RF
0,30,0.014563158425234708,0.0018783807754516602,0.00047919928233852715,0.005732730611185843,0.053204409029983545,30,500.0,500.0,500.0,XGB
1,30,0.027293896675109862,0.007767915725708008,0.0034343600273132324,0.013428330421447754,0.07476181198106577,30,1000.0,1000.0,1000.0,XGB
3,30,0.02816237902747124,0.0036465370813800746,0.001357213242869193,0.009120859495808986,0.08665334159928907,30,2000.0,2000.0,2000.0,XGB
5,30,0.01646633736504176,0.0045931780497028285,0.0010062831560873065,0.014298812135081107,0.051349988404925606,30,5000.0,5000.0,5000.0,XGB
7,30,0.024836285909016927,0.006324052810668945,0.0013219118118286133,0.016225576400756836,0.060083215464959,30,10000.0,10000.0,10000.0,XGB
9,30,0.04511649489931908,0.008950233459472656,0.0049157583872272426,0.03301756025948066,0.09613990682691473,30,20000.0,20000.0,20000.0,XGB
11,30,0.05629241409727115,0.023842171414713675,0.01345916150413018,0.07056601403556328,0.09427002016698059,30,50000.0,50000.0,50000.0,XGB
13,30,0.10790430704752604,0.07425427436828613,0.03171074390411377,0.17743611335754395,0.14447657953131884,30,100000.0,100000.0,100000.0,XGB
15,30,0.12915667574140077,0.07899133803047675,0.036688402875284964,0.19647280155818692,0.17182039014716605,30,200000.0,200000.0,200000.0,XGB
17,30,0.095405045835696,0.03856062889099121,0.01028080342612725,0.13653699995674629,0.14749884625718715,30,500000.0,500000.0,500000.0,XGB
