feature,importance
bin1,0.6442301
bin2,0.195829
bin3,0.057088904
bin4,0.005593941
bin5,0.002498931
bin6,0.007848461
bin7,0.0046128146
bin8,0.0011433003
bin9,0.01716601
bin10,0.0028842355
bin11,0.0028625473
bin12,0.009666709
bin13,0.00197546
bin14,0.0014119087
bin15,0.0002738658
bin16,0.0015042248
bin17,0.0030949616
bin18,0.0031748994
bin19,0.0028676083
bin20,0.004800937
bin21,0.00659612
bin22,0.004244307
bin23,0.002036437
bin24,0.0026906836
bin25,0.003105094
bin26,0.0028617422
bin27,0.002092056
bin28,0.0018421654
bin29,0.0014852041
bin30,0.0025174278
