,NA_count,mean,std
bin1,0,0.005289270557293433,0.00032873011731459316
bin2,0,0.005246051704013485,0.00017718149553161623
bin3,0,0.0052322340097286126,0.00010326474696336495
bin4,0,0.005225686395705994,8.051270892335584e-05
bin5,0,0.005222596136147112,7.563425670950617e-05
bin6,0,0.005219740996800411,5.9288355652742044e-05
bin7,0,0.005218094940958148,6.238909235689767e-05
bin8,0,0.0052160584749902025,4.4296739938229555e-05
bin9,0,0.0052149464877859495,3.938942176449253e-05
bin10,0,0.005214487854138233,4.443877327699119e-05
bin11,0,0.005213771346067029,3.971160148539724e-05
bin12,0,0.005212927033053783,3.554460272626255e-05
bin13,0,0.005212929298138134,3.866961284443396e-05
bin14,0,0.005212957782999908,4.157465124980228e-05
bin15,0,0.0052123781610713136,3.905354111882931e-05
bin16,0,0.005211698774209475,3.627179976714505e-05
bin17,0,0.005211189137140328,3.4916340485277e-05
bin18,0,0.005210253536160109,3.1107081758184125e-05
bin19,0,0.005209910451165104,3.255942378565694e-05
bin20,0,0.005210283020717687,3.159014429773081e-05
bin21,0,0.0052099744132278174,3.1557409120986705e-05
bin22,0,0.00521010256116172,3.4045563659976675e-05
bin23,0,0.005209192544376156,3.640282062283049e-05
bin24,0,0.005208765030709713,3.417689310050624e-05
bin25,0,0.005209219268063059,3.50732708907782e-05
bin26,0,0.0052090873156829896,3.6469023506101965e-05
bin27,0,0.005208854212452525,4.036629550574245e-05
bin28,0,0.005209286012494374,4.270222838302729e-05
bin29,0,0.00520840577063676,5.2370070878809456e-05
bin30,0,0.005208833302339377,5.665155934161577e-05
