bin,n,mae,mae_med,ae_p25,ae_p75,rmse,bin_count,ne_median,ne_min,ne_max,model
0,50,0.21750564124510383,0.1977849621031882,0.12218832238221466,0.27170626035349943,0.25652107497944127,50,19530.0,793.0,34042.0,RF
1,50,0.14027338427965824,0.12556832712131394,0.054997907111691946,0.2084246234064635,0.1697557146286656,50,44351.0,34268.0,57360.0,RF
2,50,0.11791804470539127,0.12070740598520668,0.06050642317618271,0.16031512551644767,0.13855601514162083,50,73337.5,58518.0,85312.0,RF
3,50,0.15350745659844442,0.14112193350534463,0.08537811479809698,0.1895622529274852,0.17763220647120667,50,98310.5,85597.0,113314.0,RF
4,50,0.11444199533148072,0.0908312789993313,0.04931359395144019,0.14383263269079327,0.14388284077158617,50,126263.0,113364.0,134629.0,RF
5,50,0.10411770913697825,0.11087786101758113,0.0476849984436416,0.14443862430248777,0.12126885714544042,50,148445.0,135335.0,159370.0,RF
6,50,0.09746661879373127,0.08672243527663115,0.0413976206910569,0.14608341452854323,0.12203855836915684,50,172501.0,159584.0,179913.0,RF
7,50,0.1323773863200864,0.08766994920046312,0.04762382831281142,0.1588094212249409,0.2426563576305837,50,192417.0,180106.0,204636.0,RF
8,50,0.09902135178410312,0.07148981867678028,0.04830366366404548,0.122460333349659,0.14365972099697133,50,215939.0,205130.0,226699.0,RF
9,50,0.08432328065549884,0.08527707736976797,0.04173304314161719,0.12369055507832405,0.0979488138857927,50,236763.0,227127.0,246353.0,RF
10,50,0.06771864444873468,0.06838863118912197,0.033035077193015905,0.09056981206315773,0.08243010875910432,50,257739.0,246702.0,273269.0,RF
11,50,0.06913860209184731,0.06832888314908558,0.023377008752285766,0.09394928467435482,0.08495115344822292,50,280932.5,273587.0,289518.0,RF
12,50,0.07104154583737503,0.053304737239486144,0.028137478401989213,0.08611117341124164,0.11390670632438521,50,299994.0,290559.0,315611.0,RF
13,50,0.0563597024666733,0.04375798767657635,0.012156731713780733,0.09020248677705411,0.07591116091954642,50,327162.5,315992.0,345918.0,RF
14,50,0.07846363520962335,0.04199684488887234,0.018934701779920404,0.1220856423606016,0.11379619016028363,50,358121.5,347403.0,371913.0,RF
15,50,0.08052238319070076,0.05527854708993729,0.018626549406595805,0.1369661502739825,0.1091150265932933,50,383214.0,372131.0,394053.0,RF
16,50,0.09212667063724822,0.06674054987273204,0.041663009112568705,0.1292325301727697,0.11334733176570885,50,413451.0,394380.0,422863.0,RF
17,50,0.0970249894770262,0.08478106419282927,0.05922849358339288,0.1262180074008583,0.11002583335623303,50,435739.0,422996.0,450760.0,RF
18,50,0.1250945101992389,0.09157181013385696,0.06806564521168057,0.15833336923547203,0.1503466457112021,50,467254.5,451091.0,478990.0,RF
19,50,0.14903652137574505,0.12681124951782952,0.10692974390032073,0.17283142941025376,0.160959894733137,50,489352.0,479947.0,499925.0,RF
0,50,0.11222859178762272,0.09290057465264212,0.044108670593053345,0.14972832498689148,0.1494022347698566,50,19530.0,793.0,34042.0,XGB
1,50,0.08987603705929216,0.06670134852310516,0.037281445034106575,0.11939301617026743,0.11432132394173161,50,44351.0,34268.0,57360.0,XGB
2,50,0.08874857608811729,0.06997275665849179,0.04387412979461902,0.12552454443698502,0.10953320170692682,50,73337.5,58518.0,85312.0,XGB
3,50,0.11528636139263215,0.09131455883323758,0.05640638979898216,0.1640086938398404,0.14524133086122934,50,98310.5,85597.0,113314.0,XGB
4,50,0.07915921049048275,0.05941308447400839,0.025286442045042046,0.11136033230638676,0.1088166248475572,50,126263.0,113364.0,134629.0,XGB
5,50,0.07146682141244337,0.06014842783319585,0.029721089250753785,0.10605374712629168,0.09042681442575981,50,148445.0,135335.0,159370.0,XGB
6,50,0.084773358269483,0.06967703674410508,0.03480370019943657,0.12957363146948842,0.10464492115750067,50,172501.0,159584.0,179913.0,XGB
7,50,0.12254338634382636,0.10120223350965096,0.03206145190565546,0.16437231949584863,0.20090922143801374,50,192417.0,180106.0,204636.0,XGB
8,50,0.1016433899542962,0.08786074755805462,0.04960578890608769,0.13850261287126941,0.12375007994831558,50,215939.0,205130.0,226699.0,XGB
9,50,0.07816247801801374,0.07625277017319343,0.02604337341897245,0.12436754898922597,0.09530848222640977,50,236763.0,227127.0,246353.0,XGB
10,50,0.08325553758232364,0.06960281792008072,0.03252774368653055,0.12136589812200005,0.10151791932024536,50,257739.0,246702.0,273269.0,XGB
11,50,0.07639000033735693,0.06645226451709974,0.03605902402621197,0.11254194393386086,0.09292992438530027,50,280932.5,273587.0,289518.0,XGB
12,50,0.07398734337922848,0.06039982856515058,0.032021702440002686,0.09755368160015121,0.10287844329660653,50,299994.0,290559.0,315611.0,XGB
13,50,0.06612733670317049,0.05271580077693905,0.023371785730312622,0.10511557115316639,0.08413360248419269,50,327162.5,315992.0,345918.0,XGB
14,50,0.07133701500674851,0.05059006127032539,0.03088823930070217,0.0928487808202203,0.09579778681995382,50,358121.5,347403.0,371913.0,XGB
15,50,0.07244470643820533,0.05030218488173688,0.025967767300402622,0.0819161038266012,0.09656198381095991,50,383214.0,372131.0,394053.0,XGB
16,50,0.06216003402791388,0.04800617419904185,0.018408969380244944,0.09070712474822029,0.08374279782462692,50,413451.0,394380.0,422863.0,XGB
17,50,0.0720131687521576,0.061818376568386846,0.024302066066574923,0.10007157276176826,0.09239752978028447,50,435739.0,422996.0,450760.0,XGB
18,50,0.0916580438830828,0.07211269981033164,0.04102829184388068,0.12828437614993926,0.11699436694241805,50,467254.5,451091.0,478990.0,XGB
19,50,0.10176094543702555,0.08896010416171762,0.06049084658020876,0.13120041184786402,0.11691415712159992,50,489352.0,479947.0,499925.0,XGB
